Cod. Art.;Descripción Articulo;P.V.P
KF11306;CAMPANA ALFA PARED 1500x1350x500 3 FILTROS (BASIC);2070,16
KF11307;CAMPANA ALFA PARED 2000x750x500 4 FILTROS (BASIC);1849,14
KF11308;CAMPANA ALFA PARED 2000x900x500 4 FILTROS (BASIC);1944,23
KF11309;CAMPANA ALFA PARED 2000x1100x500 4 FILTROS (BASIC);1989,21
KF11310;CAMPANA ALFA PARED 2000x1350x500 4 FILTROS (BASIC);2391,41
KF11311;CAMPANA ALFA PARED 2500x750x500 5 FILTROS;2313,03
KF11312;CAMPANA ALFA PARED 2500x900x500 5 FILTROS (BASIC);2378,56
KF11313;CAMPANA ALFA PARED 2500x1100x500 5 FILTROS (BASIC);2455,66
KF11314;CAMPANA ALFA PARED 2500x1350x500 5 FILTROS (BASIC);2863,01
KF11320;CAMPANA ALFA CENTRAL 1500x1400x500 6 FILTROS (BASIC);2486,51
KF11321;CAMPANA ALFA CENTRAL 1500x2100x500 6 FILTROS (BASIC);2742,22
KF11322;CAMPANA ALFA CENTRAL 2000x1400x500 8 FILTROS (BASIC);2967,1
KF11323;CAMPANA ALFA CENTRAL 2000x2100x500 8 FILTROS (BASIC);3370,59
KF11324;CAMPANA ALFA CENTRAL 2500x1400x500 10 FILTROS (BASIC);3491,39
KF11325;CAMPANA ALFA CENTRAL 2500x2100x500 10 FILTROS (BASIC);3867,89
KF11326;CAMPANA BETA PARED 1500x750 3 FILTROS (PLEIN);1924,95
KF11327;CAMPANA BETA PARED 1000x750 2 FILTROS (PLEIN);1597,28
KF11328;CAMPANA BETA PARED 1000x900 2 FILTROS (PLEIN);1747,62
KF11329;CAMPANA BETA PARED 1200x750 2 FILTROS (PLEIN);1667,95
KF11330;CAMPANA BETA PARED 1200x900 2 FILTROS (PLEIN);1790,03
KF11331;CAMPANA BETA PARED 1200x1100 2 FILTROS (PLEIN);1827,29
KF11332;CAMPANA BETA PARED 1200x1350 2 FILTROS (PLEIN);2193,52
KF11333;CAMPANA BETA PARED 1500x900 3 FILTROS (PLEIN);1973,78
KF11334;CAMPANA BETA PARED 1500x1100 3 FILTROS (PLEIN);2005,91
KF11335;CAMPANA BETA PARED 1500x1350 3 FILTROS (PLEIN);2406,83
KF11336;CAMPANA BETA PARED 2000x750 4 FILTROS (PLEIN);2251,35
KF11337;CAMPANA BETA PARED 2000x900 4 FILTROS (PLEIN);2390,13
KF11338;CAMPANA BETA PARED 2000x1100 4 FILTROS (PLEIN);2429,96
KF11339;CAMPANA BETA PARED 2000x1350 4 FILTROS (PLEIN);2915,7
KF11340;CAMPANA BETA PARED 2500x750 5 FILTROS (PLEIN);2674,12
KF11341;CAMPANA BETA PARED 2500x900 5 FILTROS (PLEIN);2846,31
KF11342;CAMPANA BETA PARED 2500x1100 5 FILTROS (PLEIN);2902,85
KF11343;CAMPANA BETA PARED 2500x1350 5 FILTROS (PLEIN);3483,68
KF11344;CAMPANA BETA PARED 3000x750 6 FILTROS (PLEIN);3351,32
KF11345;CAMPANA BETA PARED 3000x900 6 FILTROS (PLEIN);3590,33
KF11346;CAMPANA BETA PARED 3000x1100 6 FILTROS (PLEIN);3643,02
KF11347;CAMPANA BETA PARED 3000x1350 6 FILTROS (PLEIN);4371,62
KF11348;CAMPANA BETA PARED 4000x750 8 FILTROS (PLEIN);4122,33
KF11349;CAMPANA BETA PARED 4000x900 8 FILTROS (PLEIN);4464,14
KF11350;CAMPANA BETA PARED 4000x1100 8 FILTROS (PLEIN);4491,13
KF11351;CAMPANA BETA PARED 4000x1350 8 FILTROS (PLEIN);5389,36
KF11352;CAMPANA BETA PARED 5000x750 10 FILTROS (PLEIN);5001,28
KF11353;CAMPANA BETA PARED 5000x900 10 FILTROS (PLEIN);5606,52
KF11354;CAMPANA BETA PARED 5000x1100 10 FILTROS (PLEIN);5753,02
KF11355;CAMPANA BETA PARED 5000x1350 10 FILTROS (PLEIN);6799,02
KF11371;CAMPANA BETA CENTRAL 1500x1400 6 FILTROS (PLEIN);3107,17
KF11372;CAMPANA BETA CENTRAL 1500x2100 6 FILTROS (PLEIN);3335,9
KF11373;CAMPANA BETA CENTRAL 2000x1400 8 FILTROS (PLEIN);3653,3
KF11374;CAMPANA BETA CENTRAL 2000x2100 8 FILTROS (PLEIN);4097,91
KF11375;CAMPANA BETA CENTRAL 2500x1400 10 FILTROS (PLEIN);4338,21
KF11376;CAMPANA BETA CENTRAL 2500x2100 10 FILTROS (PLEIN);4689,02
KF11377;CAMPANA BETA CENTRAL 3000x1400 12 FILTROS (PLEIN);5659,21
KF11378;CAMPANA BETA CENTRAL 3000x2100 12 FILTROS (PLEIN);6121,82
KF11379;CAMPANA BETA CENTRAL 3500x1400 14 FILTROS (PLEIN);5976,61
KF11380;CAMPANA BETA CENTRAL 3500x2100 14 FILTROS (PLEIN);6834,99
KF11381;CAMPANA BETA CENTRAL 4000x1400 16 FILTROS (PLEIN);6655,1
KF11382;CAMPANA BETA CENTRAL 4000x2100 16 FILTROS (PLEIN);7546,9
KF11383;CAMPANA BETA CENTRAL 5000x1400 20 FILTROS (PLEIN);8150,84
KF11384;CAMPANA BETA CENTRAL 5000x2100 20 FILTROS (PLEIN);9135,16
KF11391;CAMPANA GAMMA PARED 1000x750 9/9 1/3 (MONOBLOC);1831,15
KF11392;CAMPANA GAMMA PARED 1000x900 9/9 1/3 (MONOBLOC);2011,05
KF11393;CAMPANA GAMMA PARED 1500x750 9/9 1/3 (MONOBLOC);2179,39
KF11394;CAMPANA GAMMA PARED 1500x750 9/9 1/2 (MONOBLOC);2251,35
KF11395;CAMPANA GAMMA PARED 1500x900 9/9 1/3 (MONOBLOC);2277,05
KF11396;CAMPANA GAMMA PARED 1500x900 9/9 1/2 (MONOBLOC);2289,9
KF11397;CAMPANA GAMMA PARED 1500x1100 9/9 1/3 (MONOBLOC);2314,31
KF11398;CAMPANA GAMMA PARED 1500x1100 9/9 1/2 (MONOBLOC);2324,59
KF11399;CAMPANA GAMMA PARED 2000x750 10/10 1/3 (MONOBLOC);2478,8
KF11401;CAMPANA GAMMA PARED 2000x750 10/10 3/4 (MONOBLOC);2559,75
KF11402;CAMPANA GAMMA PARED 2000x900 10/10 1/3 (MONOBLOC);2633
KF11404;CAMPANA GAMMA PARED 2000x900 10/10 3/4 (MONOBLOC);2720,38
KF11405;CAMPANA GAMMA PARED 2000x1100 10/10 1/3 (MONOBLOC);2699,82
KF11407;CAMPANA GAMMA PARED 2000x1100 10/10 3/4 (MONOBLOC);2802,62
KF11409;CAMPANA GAMMA PARED 2500x750 10/10 3/4 (MONOBLOC);2850,16
KF11411;CAMPANA GAMMA PARED 2500x900 10/10 3/4 (MONOBLOC);2931,12
KF11413;CAMPANA GAMMA PARED 2500x1100 10/10 3/4 (MONOBLOC);3001,79
KF11431;CAMPANA GAMMA CENTRAL 1500x1400 12/12 1 (MONOBLOC);3655,87
KF11432;CAMPANA GAMMA CENTRAL 1500x2100 12/12 1 (MONOBLOC);4065,79
KF11433;CAMPANA GAMMA CENTRAL 2000x1400 12/12 1,5 (MONOBLOC);4101,77
KF11434;CAMPANA GAMMA CENTRAL 2000x2100 12/12 1,5 (MONOBLOC);4722,43
KF11435;CAMPANA GAMMA CENTRAL 2500x1400 12/12 1,5 (MONOBLOC);4758,41
KF11436;CAMPANA GAMMA CENTRAL 2500x2100 12/12 1,5 (MONOBLOC);5634,79
KF11437;CAMPANA GAMMA CENTRAL 3000x1400 2x12/12 1 (MONOBLOC);6556,14
KF11438;CAMPANA GAMMA CENTRAL 3000x2100 2x12/12 1 (MONOBLOC);7579,01
KF11439;CAMPANA GAMMA CENTRAL 3500x1400 2x12/12 1,5 (MONOBLOC);7205,08
KF11440;CAMPANA GAMMA CENTRAL 3500x2100 2x12/12 1,5 (MONOBLOC);8235,65
KF11441;CAMPANA GAMMA CENTRAL 4000x1400 2x12/12 1,5 (MONOBLOC);7650,97
KF11442;CAMPANA GAMMA CENTRAL 4000x2100 2x12/12 1,5 (MONOBLOC);8891,01
KF11447;CAMPANA SIGMA PARED 1200x750 2 FILTROS (PLEIN COMPENSADA);2392,7
KF11448;CAMPANA SIGMA PARED 1200x900 2 FILTROS (PLEIN COMPENSADA);2408,12
KF11449;CAMPANA SIGMA PARED 1200x1100 2 FILTROS (PLEIN COMPENSADA);2460,8
KF11450;CAMPANA SIGMA PARED 1200x1350 2 FILTROS (PLEIN COMPENSADA);2774,35
KF11451;CAMPANA SIGMA PARED 1500x750 3 FILTROS (PLEIN COMPENSADA);2501,92
KF11452;CAMPANA SIGMA PARED 1500x900 3 FILTROS (PLEIN COMPENSADA);2630,43
KF11453;CAMPANA SIGMA PARED 1500x1100 3 FILTROS (PLEIN COMPENSADA);2726,8
KF11454;CAMPANA SIGMA PARED 1500x1350 3 FILTROS (PLEIN COMPENSADA);3127,73
KF11455;CAMPANA SIGMA PARED 2000x750 4 FILTROS (PLEIN COMPENSADA);3012,08
KF11456;CAMPANA SIGMA PARED 2000x900 4 FILTROS (PLEIN COMPENSADA);3141,86
KF11457;CAMPANA SIGMA PARED 2000x1100 4 FILTROS (PLEIN COMPENSADA);3211,25
KF11458;CAMPANA SIGMA PARED 2000x1350 4 FILTROS (PLEIN COMPENSADA);3698,27
KF11459;CAMPANA SIGMA PARED 2500x750 5 FILTROS (PLEIN COMPENSADA);3423,28
KF11460;CAMPANA SIGMA PARED 2500x900 5 FILTROS (PLEIN COMPENSADA);3680,28
KF11461;CAMPANA SIGMA PARED 2500x1100 5 FILTROS (PLEIN COMPENSADA);3714,98
KF11462;CAMPANA SIGMA PARED 2500x1350 5 FILTROS (PLEIN COMPENSADA);4295,8
KF11463;CAMPANA SIGMA PARED 3000x750 6 FILTROS (PLEIN COMPENSADA);4573,37
KF11464;CAMPANA SIGMA PARED 3000x900 6 FILTROS (PLEIN COMPENSADA);4876,64
KF11465;CAMPANA SIGMA PARED 3000x1100 6 FILTROS (PLEIN COMPENSADA);4924,18
KF11466;CAMPANA SIGMA PARED 3000x1350 6 FILTROS (PLEIN COMPENSADA);5652,79
KF11467;CAMPANA SIGMA PARED 4000x750 8 FILTROS (PLEIN COMPENSADA);5891,8
KF11468;CAMPANA SIGMA PARED 4000x900 8 FILTROS (PLEIN COMPENSADA);6139,81
KF11469;CAMPANA SIGMA PARED 4000x1100 8 FILTROS (PLEIN COMPENSADA);6264,45
KF11470;CAMPANA SIGMA PARED 4000x1350 8 FILTROS (PLEIN COMPENSADA);7201,23
