Cod. Art.;Descripción Articulo;P.V.P
KF11873;CAMPANA DELTA CENTRAL 3500X1400 INDUCTORA;13572,34
KF11874;CAMPANA DELTA CENTRAL 3500X2100 INDUCTORA;15469,03
KF11875;CAMPANA DELTA CENTRAL 4000X1400 INDUCTORA;15111,8
KF11876;CAMPANA DELTA CENTRAL 4000X2100 INDUCTORA;17081,73
KF11877;CAMPANA DELTA CENTRAL 4500X1400 INDUCTORA;16770,75
KF11878;CAMPANA DELTA CENTRAL 4500X2100 INDUCTORA;18879,46
KF11879;CAMPANA OMEGA  1000X1000 PARA VAHOS;1225,81
KF11880;CAMPANA OMEGA 1000X1200 PARA VAHOS;1292,48
KF11881;CAMPANA OMEGA 1200X1000 PARA VAHOS;1362,78
KF11882;CAMPANA OMEGA 1200X1200 PARA VAHOS;1420,67
KF11883;CAMPANA OMEGA 1500X1000 PARA VAHOS;1586,42
KF11884;CAMPANA OMEGA 1500X1200 PARA VAHOS;1681,28
KF11885;CAMPANA OMEGA 1500X1500 PARA VAHOS;1893,79
KF11886;CAMPANA OMEGA 2000X1000 PARA VAHOS;1828,58
KF11887;CAMPANA OMEGA 2000X1200 PARA VAHOS;1977,03
KF11888;CAMPANA OMEGA 2000X1500 PARA VAHOS;2196,21
KF11889;CAMPANA OMEGA 2200X1000 PARA VAHOS;1990,49
KF11890;CAMPANA OMEGA 2200X1200 PARA VAHOS;2115,08
KF11891;CAMPANA  OMEGA 2200X1500 PARA VAHOS;2358,69
KF11892;CAMPANA OMEGA 2500X1000 PARA VAHOS;2230,79
KF11893;CAMPANA OMEGA 2500X1200 PARA VAHOS;2322,32
KF11894;CAMPANA OMEGA 2500X1500 PARA VAHOS;2629,6
KF11895;CAMPANA REVERSIBLE LAMBDA 1000X1000MM;1777,18
KF11896;CAMPANA REVERSIBLE LAMBDA 1000X1200MM;1874,84
KF11897;CAMPANA REVERSIBLE LAMBDA 1000X1500MM;2076,59
KF11899;CAMPANA REVERSIBLE LAMBDA 1200X1000MM;1973,78
KF11920;CAMPANA REVERSIBLE LAMBDA 1200X1200MM;2081,72
KF11921;CAMPANA REVERSIBLE LAMBDA 1200X1500MM;2301,46
KF11922;CAMPANA REVERSIBLE LAMBDA 1200X2000MM;2639,43
KF11923;CAMPANA REVERSIBLE LAMBDA 1500X1000MM;2368,28
KF11924;CAMPANA REVERSIBLE LAMBDA 1500X1200MM;2494,21
KF11925;CAMPANA REVERSIBLE LAMBDA 1500X1500MM;2739,65
KF11926;CAMPANA REVERSIBLE LAMBDA  1500X2000MM;3116,16
KF11927;CAMPANA REVERSIBLE LAMBDA 2000X1000MM;2904,13
KF11928;CAMPANA REVERSIBLE LAMBDA 2000X1200MM;3060,91
KF11929;CAMPANA REVERSIBLE LAMBDA 2000X1500MM;3330,76
KF11930;CAMPANA REVERSIBLE LAMBDA 2000X2000MM;3770,23
KF11931;CAMPANA REVERSIBLE LAMBDA  2200X1000MM;3136,72
KF11932;CAMPANA REVERSIBLE LAMBDA 2200X1200MM;3303,77
KF11933;CAMPANA REVERSIBLE LAMBDA 2200X1500MM;3591,62
KF11934;CAMPANA REVERSIBLE LAMBDA 2200X2000MM;4065,79
KF11935;CAMPANA REVERSIBLE LAMBDA 2500X1000MM;3599,33
KF11936;CAMPANA REVERSIBLE LAMBDA 2500X1200MM;3784,37
KF11937;CAMPANA REVERSIBLE LAMBDA  2500X1500MM;4097,91
KF11938;CAMPANA REVERSIBLE LAMBDA 2500X2000MM;4610,63
KF11939;CAMPANA REVERSIBLE LAMBDA 3000X1000MM;4281,67
KF11940;CAMPANA REVERSIBLE LAMBDA 3000X1200MM;4493,7
KF11941;CAMPANA REVERSIBLE LAMBDA 3000X1500MM;4852,21
KF11942;CAMPANA REVERSIBLE LAMBDA 3000X2000MM;5438,19
KF11943;CAMPANA REVERSIBLE LAMBDA 4000X1000MM;5354,66
KF11944;CAMPANA REVERSIBLE LAMBDA 4000X1200MM;5629,66
KF11945;CAMPANA REVERSIBLE LAMBDA 4000X1500MM;6035,72
KF11946;CAMPANA REVERSIBLE LAMBDA 4000X2000MM;6746,33
KF11950;CAMPANA REVERSIBLE COMPENSADA LAMBDA-C 1200X1000MM;2641,87
KF11951;CAMPANA REVERSIBLE COMPENSADA LAMBDA-C 1200X1200MM;2832,31
KF11952;CAMPANA REVERSIBLE COMPENSADA LAMBDA-C 1200X1500MM;3047,54
KF11953;CAMPANA REVERSIBLE COMPENSADA LAMBDA-C  1200X2000MM;3463,89
KF11954;CAMPANA REVERSIBLE COMPENSADA LAMBDA-C 1500X1000MM;3042,92
KF11955;CAMPANA REVERSIBLE COMPENSADA LAMBDA-C 1500X1200MM;3327,81
KF11956;CAMPANA REVERSIBLE COMPENSADA LAMBDA-C 1500X1500MM;3569
KF11957;CAMPANA REVERSIBLE COMPENSADA LAMBDA-C  1500X2000MM;3945,39
KF11958;CAMPANA REVERSIBLE COMPENSADA LAMBDA-C  2000X1000MM;3798,9
KF11959;CAMPANA REVERSIBLE COMPENSADA LAMBDA-C 2000X1200MM;4036,74
KF11960;CAMPANA REVERSIBLE COMPENSADA LAMBDA-C 2000X1500MM;4301,34
KF11961;CAMPANA REVERSIBLE COMPENSADA LAMBDA-C 2000X2000MM;4816,63
KF11962;CAMPANA REVERSIBLE COMPENSADA  LAMBDA-C 2500X1000MM;4646,87
KF11963;CAMPANA REVERSIBLE COMPENSADA LAMBDA-C 2500X1200MM;4912,5
KF11964;CAMPANA REVERSIBLE COMPENSADA LAMBDA-C 2500X1500MM;5220,77
KF11965;CAMPANA REVERSIBLE COMPENSADA LAMBDA-C 2500X2000MM;5807,64
KF11966;CAMPANA REVERSIBLE COMPENSADA LAMBDA-C  3000X1000MM;5639,94
KF11967;CAMPANA REVERSIBLE COMPENSADA LAMBDA-C 3000X1200MM;6171,68
KF11968;CAMPANA REVERSIBLE COMPENSADA LAMBDA-C 3000X1500MM;6523,76
KF11969;CAMPANA REVERSIBLE COMPENSADA LAMBDA-C 3000X2000MM;7111,78
KF11970;CAMPANA REVERSIBLE COMPENSADA LAMBDA-C 4000X1000MM;7589,44
KF11971;CAMPANA REVERSIBLE COMPENSADA LAMBDA-C 4000X1200MM;7706,23
KF11972;CAMPANA REVERSIBLE COMPENSADA LAMBDA-C  4000X1500MM;7988,29
KF11973;CAMPANA REVERSIBLE COMPENSADA LAMBDA-C 4000X2000MM;8854,26
KF11975;CAMPANA REVERSIBLE CENTRAL LAMBDA  1500X1500MM;3410,43
KF11976;CAMPANA REVERSIBLE CENTRAL LAMBDA 1500X2000MM;3785,65
KF11977;CAMPANA REVERSIBLE CENTRAL LAMBDA 2000X1500MM;4360,05
KF11978;CAMPANA REVERSIBLE CENTRAL LAMBDA 2000X2000MM;4798,24
KF11979;CAMPANA REVERSIBLE CENTRAL LAMBDA 2000X2800MM;5936,78
KF11980;CAMPANA REVERSIBLE CENTRAL LAMBDA 2500X1500;5173,47
KF11981;CAMPANA REVERSIBLE CENTRAL LAMBDA 2500X2000MM;5686,2
KF11982;CAMPANA REVERSIBLE CENTRAL LAMBDA 2500X2800MM;6825,99
KF11983;CAMPANA REVERSIBLE CENTRAL LAMBDA 3000X1500MM;6090,98
KF11984;CAMPANA REVERSIBLE CENTRAL LAMBDA 3000X2000MM;6655,1
KF11985;CAMPANA REVERSIBLE CENTRAL LAMBDA 3000X2800MM;8496,51
KF11986;CAMPANA REVERSIBLE CENTRAL LAMBDA  3500X1500MM;7040,6
KF11987;CAMPANA REVERSIBLE CENTRAL LAMBDA  3500X2000MM;7667,68
KF11988;CAMPANA REVERSIBLE CENTRAL LAMBDA 3500X2800MM;9856,05
KF11989;CAMPANA REVERSIBLE CENTRAL LAMBDA 4000X1500MM;7990,23
KF11990;CAMPANA REVERSIBLE CENTRAL LAMBDA 4000X2000MM;8680,28
KF11991;CAMPANA REVERSIBLE CENTRAL LAMBDA  4000X2800MM;10859,65
KF11992;CAMPANA REVERSIBLE CENTRAL LAMBDA 5000X1500MM;9618,33
KF11993;CAMPANA REVERSIBLE CENTRAL LAMBDA 5000X2000MM;10453,61
KF11994;CAMPANA REVERSIBLE CENTRAL LAMBDA 5000X2800MM;12784,6
